ss_id,latitude_rounded,longitude_rounded,llsoacd,orientation,tilt,kwp,operational_at
2656,53.51,-0.53,E01013329,180.0,22.0,2.76,2011-08-22
2657,51.49,0.36,E01015937,185.0,47.0,4.0,2011-08-26
2658,51.32,-2.19,E01032100,170.0,40.0,3.42,2011-08-24
2659,51.59,-1.8,E01015514,180.0,30.0,2.59,2011-08-24
2660,52.22,1.49,E01030209,90.0,36.0,4.0,2011-08-29
2661,50.82,-0.52,E01031408,174.0,36.0,1.25,2011-08-29
2662,53.18,0.1,E01026100,220.0,30.0,1.38,2011-08-25
2663,53.18,0.1,E01026100,220.0,30.0,1.38,2011-08-24
2664,51.6,-1.42,E01028725,184.0,25.0,3.33,2011-08-26
2665,53.72,-1.38,E01011757,208.0,40.0,1.15,2011-08-30
2666,53.72,-1.38,E01011757,208.0,40.0,1.38,2011-08-30
2667,53.72,-1.38,E01011757,208.0,40.0,1.38,2011-08-30
2668,53.72,-1.38,E01011757,208.0,40.0,1.38,2011-08-30
2669,53.71,-2.28,E01025355,175.0,25.0,3.42,2011-08-30
2670,53.45,-2.91,E01006662,270.0,30.0,0.66,2011-08-18
2671,53.45,-2.91,E01006662,270.0,30.0,0.66,2011-08-18
2672,53.44,-2.92,E01006599,270.0,30.0,0.66,2011-08-18
2673,53.16,0.12,E01026059,185.0,30.0,2.76,2011-08-12
2674,53.16,0.12,E01026059,185.0,30.0,2.76,2011-08-12
2675,50.76,-1.89,E01015334,165.0,35.0,2.35,2011-08-22
2676,50.77,-1.91,E01015304,142.0,35.0,2.35,2011-08-19
2677,53.45,-2.91,E01006662,270.0,30.0,0.66,2011-08-18
2678,53.33,-2.7,E01012384,270.0,30.0,0.66,2011-08-18
2679,51.79,-1.49,E01028819,180.0,38.0,2.28,2011-08-31
2680,51.79,-1.49,E01028819,180.0,38.0,2.28,2011-08-31
2681,51.79,-1.47,E01028811,180.0,36.0,2.28,2011-08-31
2682,50.77,-1.91,E01015302,209.0,35.0,2.35,2011-08-31
2683,50.77,-1.91,E01015302,188.0,35.0,2.35,2011-08-31
2684,50.75,-1.9,E01015357,180.0,28.0,1.88,2011-08-31
2685,50.75,-1.82,E01015341,180.0,35.0,2.35,2011-08-31
2686,50.75,-1.89,E01015357,157.0,26.0,2.35,2011-08-31
2687,51.77,-1.6,E01032951,180.0,38.0,2.28,2011-08-31
2688,51.8,-1.34,E01028788,180.0,36.0,2.28,2011-08-31
2689,50.54,-3.7,E01020237,220.0,30.0,4.0,2011-08-31
2690,51.32,-2.19,E01032100,170.0,30.0,2.59,2011-08-31
2691,50.77,-1.91,E01015304,225.0,35.0,2.35,2011-08-31
2692,50.81,-0.52,E01031410,170.0,25.0,2.59,2011-08-31
2693,51.76,-1.6,E01028771,180.0,38.0,2.28,2011-08-31
